shot_number,x_coord,y_coord,time,weapon
1,3,66,0.247089552238806,SCAR-L
2,719,3,0.7824502487562189,SCAR-L
3,421,379,0.8236318407960199,SCAR-L
4,732,4,0.8236318407960199,SCAR-L
5,1,2,0.8648134328358209,SCAR-L
6,707,19,1.029539800995025,SCAR-L
7,3,116,1.111902985074627,SCAR-L
8,132,8,1.111902985074627,SCAR-L
9,145,20,1.153084577114428,SCAR-L
10,2,131,1.194266169154229,SCAR-L
11,151,21,1.194266169154229,SCAR-L
12,782,1,1.194266169154229,SCAR-L
13,134,14,1.23544776119403,SCAR-L
14,127,3,1.23544776119403,SCAR-L
15,146,25,1.2766293532338309,SCAR-L
16,153,13,1.2766293532338309,SCAR-L
17,136,3,1.317810945273632,SCAR-L
18,128,17,1.400174129353234,SCAR-L
19,120,0,1.400174129353234,SCAR-L
20,101,2,1.400174129353234,SCAR-L
21,110,3,1.523718905472637,SCAR-L
22,428,379,1.606082089552239,SCAR-L
23,843,2,1.7296268656716418,SCAR-L
24,153,8,1.9355348258706468,SCAR-L
25,147,3,1.9355348258706468,SCAR-L
26,1,19,2.1826243781094528,SCAR-L
27,11,34,2.223805970149254,SCAR-L
28,10,42,2.264987562189055,SCAR-L
29,137,24,2.306169154228856,SCAR-L
30,2,58,2.512077114427861,SCAR-L
31,843,101,2.635621890547264,SCAR-L
32,27,6,2.635621890547264,SCAR-L
33,838,102,2.965074626865672,SCAR-L
34,600,380,3.0886194029850746,SCAR-L
35,572,359,3.0886194029850746,SCAR-L
36,647,373,3.335708955223881,SCAR-L
37,579,336,3.376890547263682,SCAR-L
38,616,371,3.582798507462687,SCAR-L
39,663,378,3.788706467661692,SCAR-L
40,662,368,3.788706467661692,SCAR-L
41,703,379,3.8298880597014926,SCAR-L
42,651,379,3.8298880597014926,SCAR-L
43,652,366,3.8298880597014926,SCAR-L
44,710,371,3.8710696517412937,SCAR-L
45,666,363,3.8710696517412937,SCAR-L
46,710,364,3.912251243781095,SCAR-L
47,715,351,3.953432835820896,SCAR-L
48,684,380,3.994614427860697,SCAR-L
49,715,346,3.994614427860697,SCAR-L
50,619,323,3.994614427860697,SCAR-L
51,791,371,4.612338308457712,SCAR-L
52,794,329,4.7358830845771145,SCAR-L
53,798,375,4.777064676616916,SCAR-L
54,798,322,4.777064676616916,SCAR-L
55,801,329,4.859427860696518,SCAR-L
56,730,341,4.900609452736319,SCAR-L
57,665,292,4.94179104477612,SCAR-L
58,620,379,5.065335820895522,SCAR-L
59,645,364,5.1065174129353235,SCAR-L
60,690,360,5.1065174129353235,SCAR-L
61,677,359,5.147699004975125,SCAR-L
62,636,360,5.147699004975125,SCAR-L
63,663,356,5.188880597014926,SCAR-L
64,578,380,5.230062189054727,SCAR-L
65,638,349,5.230062189054727,SCAR-L
66,573,379,5.271243781094528,SCAR-L
67,628,378,5.271243781094528,SCAR-L
68,577,341,5.271243781094528,SCAR-L
69,633,372,5.35360696517413,SCAR-L
70,630,329,5.477151741293532,SCAR-L
